source,title,description,link,pub_date
news,"""세계 최초는 못하지만…"" 법적 부담 완화 '의지' 강조한 복지부","기소 제한 사례도 생성형 인공지능(AI)까지 동원해 찾을 수 있었다""며 ""전 세계적으로 입법례가 없는 조항을 우리나라가 세계 최초로 도입하기는 어렵다""고 했다. 무엇보다 '피해자의 의사'를 바탕으로 하는 반의사불벌...",http://www.docdocdoc.co.kr/news/articleView.html?idxno=3037732,"Sat, 28 Mar 2026 12:00:00 +0900"
news,"AI는 책을 읽고, 장인은 공장을 읽는다 [인사이드아웃AI]",몇 년 사이 등장한 생성형 AI는 놀라운 성능을 보여주고 있다. 인터넷 문서·책·데이터베이스 등 방대한 자료를 학습했기 때문이다. 하지만 이러한 학습의 대부분은 형식지에 기반한 것이다. 현실의 산업 경쟁력은 종종...,https://n.news.naver.com/mnews/article/586/0000125484?sid=101,"Sat, 28 Mar 2026 12:00:00 +0900"
news,"영남이공대학교, AI 교육 대전환 시동...전 구성원에 생성형 AI 전면 개...","사진제공=영남이공대학교 이재용 영남이공대학교 총장은 "" 재학생과 교직원을 대상으로 LLM 기반 생성형 AI 서비스를 무료로 제공하며 교육 혁신에 속도를 높여 우수한 교육서비스 제공에 앞장서겠다""고 말해쑈다. 이는...",https://www.gukjenews.com/news/articleView.html?idxno=3542313,"Sat, 28 Mar 2026 11:58:00 +0900"
news,"[사회복지, ESG로 진화하다] ESG 시대, 사회복지의 생존법",칼럼니스트 프로필 나동준 칼럼니스트는  디지털전환교육원 수석연구원·숙명여자대학교 객원교수로 활동하며 생성형 AI와 사회복지 디지털 전환의 접점을 개척하는 혁신가다. 서울시립대학교에서 사회복지학...,https://www.lecturernews.com/news/articleView.html?idxno=199520,"Sat, 28 Mar 2026 11:40:00 +0900"
news,"佛 마크롱, 11년만 국빈 방한…'AI·원전·소프트파워' 동맹 강화","프랑스 내 투자 유치와 더불어 미래 모빌리티, 생성형 AI 등 첨단 기술 분야에서의 민간 협력을 직접 챙기겠다는 포석으로 분석된다. 엘리제궁 관계자는 ""이 세 대기업 중 일부는 이미 프랑스에 진출해 사업을 영위하고...",https://www.youthdaily.co.kr/news/article.html?no=216365,"Sat, 28 Mar 2026 11:24:00 +0900"
news,"[IT뒷담화] ""AI 장착 공무원""···과기정통부, 전면 업스킬 드라이브",점심시간 등을 활용한 브라운백 미팅 형태의 교육을 통해 생성형 AI를 실제 업무에 접목하는 분위기 확산에 나선 것이다. 28일 관계부처에 따르면 과기정통부는 최근 직원들을 대상으로 AI 활용 교육을 진행하고 있다....,http://www.enewstoday.co.kr/news/articleView.html?idxno=2411953,"Sat, 28 Mar 2026 11:15:00 +0900"
news,[피지컬AI와 윤리⑥] '사고'는 알고리즘 보다 '인간'과 '제도' 책임,"동시에 아마존은 딥플릿이라는 생성형 AI 기반 모델을 도입했는데, 내부 물류 데이터를 학습한 이 시스템은 지능형 교통 관리처럼 로봇들의 이동 경로를 실시간으로 조정해, 전체 로봇 플릿의 이동 시간을 약 10...",https://n.news.naver.com/mnews/article/092/0002416531?sid=105,"Sat, 28 Mar 2026 11:12:00 +0900"
news,"갤럭시S27 울트라, 최초 'LPDDR6·스냅드래곤 8 엘리트 6 프로' 탑재","삼성전자는 이를 통해 고도화된 실시간 영상 편집, 복잡한 생성형 AI 작업 등을 스마트폰 내에서 더욱 부드럽게 처리할 수 있는 환경을 구축할 방침이다. 여기에 TSMC의 최신 2나노(nm) 공정을 적용한 커스텀 칩셋...",https://n.news.naver.com/mnews/article/138/0002222394?sid=105,"Sat, 28 Mar 2026 11:08:00 +0900"
news,"애플, 구글 출신 AI 임원 또 영입…'시리' 개편 속도",링콘 부사장은 구글 어시스턴트 통합과 생성형 AI 도입을 주도한 인물입니다. 이번 영입은 애플이 음성비서 '시리'를 AI 기반 서비스로 전면 개편하는 과정에서 이뤄진 것으로 분석됩니다. 애플은 최근 구글의 AI 모델...,http://mbnmoney.mbn.co.kr/news/view?news_no=MM1005799653,"Sat, 28 Mar 2026 11:02:00 +0900"
news,"경과원, AI 교육 격차 해소 전문 강사 130명 활동 시작","맞춰 생성형 AI 활용 교육 체계를 고도화하기 위해 전문 강사 130여 명을 선발해 위촉식이 진행됐다. 이어 행사 1부에서는 SW미래채움 사업 전반에 대한 소개와 함께 강사 오리엔테이션, 우수 강사의 활동 사례와 프로젝트...",https://n.news.naver.com/mnews/article/468/0001228947?sid=102,"Sat, 28 Mar 2026 11:01:00 +0900"
